Position,Track Name,Artist,Streams
1,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1448877
2,greedy,Tate McRae,1328945
3,I Remember Everything (feat. Kacey Musgraves),Zach Bryan & Kacey Musgraves,1198052
4,Paint The Town Red,Doja Cat,1185831
5,My Love Mine All Mine,Mitski,1083310
6,IDGAF (feat. Yeat),Drake & Yeat,1079170
7,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1072971
8,Cruel Summer,Taylor Swift,1045253
9,Last Night,Morgan Wallen,1014630
10,Stick Season,Noah Kahan,998960
11,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,931869
12,fukumean,Gunna,908809
13,Something in the Orange,Zach Bryan,857639
14,Strangers,Kenya Grace,845392
15,Agora Hills,Doja Cat,830261
16,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,793242
17,I KNOW ?,Travis Scott,754434
18,Water,Tyla,748254
19,500lbs,Lil Tecca,732085
20,First Person Shooter (feat. J. Cole),Drake & J. Cole,731107
21,Fast Car,Luke Combs,694536
22,Standing Next to You,Jung Kook,692801
23,vampire,Olivia Rodrigo,667715
24,MONACO,Bad Bunny,662060
25,All I Want for Christmas Is You,Mariah Carey,649004
26,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,642430
27,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,598839
28,Daylight,David Kushner,598156
29,Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,594868
30,Style (Taylor's Version),Taylor Swift,594799
31,Now And Then,The Beatles,581579
32,Dance The Night - From Barbie The Album,Dua Lipa,580043
33,Sprinter,Dave & Central Cee,570651
34,Snooze,SZA,566661
35,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,549620
36,Wildest Dreams (Taylor's Version),Taylor Swift,542750
37,No Role Modelz,J. Cole,541683
38,Kill Bill,SZA,539967
39,Thinkin’ Bout Me,Morgan Wallen,526325
40,Calm Down (with Selena Gomez),Rema & Selena Gomez,525200
41,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake & Sexyy Red & SZA,523462
42,Wasted On You,Morgan Wallen,513659
43,Anti-Hero,Taylor Swift,512881
44,The Color Violet,Tory Lanez,506661
45,You Proof,Morgan Wallen,504029
46,White Christmas - 1947 Version,Bing Crosby & Ken Darby Singers & John Scott Trotter & His Orchestra,503894
